traj,px,py,pz,vx,vy,vz,ax,ay,az,roll,pitch,yaw
0,-1.97,1.03,0.57,0.02,-0.08,-0.01,0.34,-0.68,0.01,0.08,-0.04,0.01
0,-1.97,1.03,0.57,0.02,-0.09,-0.01,0.37,-0.65,0.04,0.08,-0.04,0.01
0,-1.97,1.03,0.57,0.03,-0.1,-0.01,0.36,-0.7,0.05,0.08,-0.05,0.01
0,-1.97,1.03,0.57,0.03,-0.11,-0.01,0.42,-0.69,0.05,0.09,-0.05,0.01
0,-1.97,1.02,0.57,0.04,-0.11,-0.01,0.44,-0.74,0.07,0.09,-0.05,0.01
0,-1.97,1.02,0.57,0.04,-0.12,-0.01,0.49,-0.76,0.06,0.09,-0.06,0.01
0,-1.97,1.02,0.57,0.05,-0.13,-0.01,0.54,-0.73,0.01,0.09,-0.06,0.01
0,-1.97,1.02,0.57,0.05,-0.14,-0.01,0.57,-0.76,-0.02,0.09,-0.06,0.01
0,-1.97,1.02,0.57,0.06,-0.15,-0.01,0.55,-0.79,0.02,0.1,-0.07,0.01
0,-1.96,1.02,0.57,0.07,-0.16,-0.01,0.61,-0.8,0.04,0.1,-0.07,0.01
0,-1.96,1.02,0.57,0.07,-0.17,-0.01,0.63,-0.84,0.05,0.1,-0.07,0.01
0,-1.96,1.02,0.57,0.08,-0.18,-0.01,0.68,-0.88,0.02,0.1,-0.08,0.01
0,-1.96,1.01,0.57,0.09,-0.18,-0.01,0.7,-0.86,0.0,0.1,-0.08,0.02
0,-1.96,1.01,0.57,0.1,-0.19,-0.01,0.74,-0.89,0.01,0.11,-0.08,0.02
0,-1.96,1.01,0.57,0.11,-0.2,-0.01,0.73,-0.91,-0.01,0.11,-0.09,0.02
0,-1.96,1.01,0.57,0.11,-0.21,-0.01,0.77,-0.92,-0.01,0.11,-0.09,0.02
0,-1.96,1.01,0.57,0.12,-0.22,-0.01,0.8,-0.95,-0.04,0.11,-0.09,0.02
0,-1.95,1.0,0.57,0.13,-0.23,-0.01,0.79,-0.93,-0.09,0.12,-0.09,0.02
0,-1.95,1.0,0.57,0.14,-0.24,-0.01,0.83,-0.95,-0.06,0.12,-0.1,0.02
0,-1.95,1.0,0.57,0.15,-0.25,-0.01,0.83,-0.92,-0.07,0.12,-0.1,0.02
0,-1.95,1.0,0.57,0.16,-0.27,-0.01,0.87,-0.93,-0.07,0.12,-0.1,0.02
0,-1.95,0.99,0.57,0.17,-0.28,-0.02,0.89,-0.9,-0.0,0.12,-0.1,0.02
0,-1.95,0.99,0.57,0.18,-0.29,-0.02,0.91,-0.92,0.02,0.12,-0.11,0.02
0,-1.94,0.99,0.57,0.19,-0.3,-0.02,0.94,-0.95,0.0,0.12,-0.11,0.02
0,-1.94,0.99,0.57,0.2,-0.31,-0.02,1.01,-0.92,-0.02,0.12,-0.12,0.02
0,-1.94,0.98,0.57,0.21,-0.32,-0.02,1.01,-0.97,-0.03,0.12,-0.12,0.02
0,-1.94,0.98,0.57,0.23,-0.33,-0.02,1.06,-0.94,-0.03,0.12,-0.12,0.02
0,-1.94,0.98,0.57,0.24,-0.34,-0.02,1.08,-0.97,-0.04,0.12,-0.12,0.02
0,-1.93,0.97,0.57,0.25,-0.35,-0.02,1.14,-0.93,-0.06,0.12,-0.13,0.02
